1;ila;ila
1;ili;ili
1;ina;ina
1;jua;jua
1;juu;juu
1;kuu;kuu
1;kwa;kwa
1;mia;mia
1;mji;mji
1;mke;mke
1;mto;mto
1;mtu;mtu
1;nje;nje
1;nne;nne
1;pia;pia
1;pua;pua
1;saa;saa
1;uso;uso
1;wao;wao
1;yai;yai
1;yao;yao
1;adui;adui
1;aina;aina
1;anga;anga
1;baba;baba
1;bado;bado
1;bara;bara
1;basi;basi
1;bata;bata
1;bega;bega
1;bluu;bluu
1;bodi;bodi
1;bora;bora
1;bure;bure
1;dada;dada
1;damu;damu
1;dola;dola
1;duka;duka
1;dutu;dutu
1;elfu;elfu
1;eneo;eneo
1;gani;gani
1;gari;gari
1;gesi;gesi
1;giza;giza
1;haja;haja
1;haki;haki
1;hali;hali
1;hapa;hapa
1;hasa;hasa
1;hata;hata
1;haya;haya
1;hewa;hewa
1;hofu;hofu
1;hoja;hoja
1;huko;huko
1;jibu;jibu
1;jina;jina
1;jiwe;jiwe
1;joto;joto
1;jozi;jozi
1;kadi;kadi
1;kama;kama
1;kasi;kasi
1;kata;kata
1;kavu;kavu
1;kazi;kazi
1;kesi;kesi
1;kifo;kifo
1;kila;kila
1;kina;kina
1;kioo;kioo
1;kiti;kiti
1;kitu;kitu
1;kona;kona
1;kufa;kufa
1;kuja;kuja
1;kula;kula
1;kumi;kumi
1;kuua;kuua
1;kuwa;kuwa
1;lami;lami
1;lori;lori
1;maji;maji
1;mali;mali
1;mama;mama
1;mara;mara
1;mbao;mbao
1;mbio;mbio
1;mbwa;mbwa
1;meli;meli
1;meno;meno
1;meza;meza
1;mguu;mguu
1;mimi;mimi
1;mkia;mkia
1;moja;moja
1;moto;moto
1;moyo;moyo
1;mpya;mpya
1;mvua;mvua
1;nane;nane
1;naye;naye
1;nchi;nchi
1;nene;nene
1;neno;neno
1;nguo;nguo
1;nini;nini
1;njia;njia
1;nusu;nusu
1;osha;osha
1;paka;paka
1;pana;pana
1;papo;papo
1;pete;pete
1;pigo;pigo
1;pili;pili
1;pori;pori
1;reli;reli
1;saba;saba
1;safi;safi
1;safu;safu
1;sana;sana
1;sasa;sasa
1;sawa;sawa
1;siku;siku
1;simu;simu
1;sisi;sisi
1;sita;sita
1;soko;soko
1;somo;somo
1;sura;sura
1;suti;suti
1;tano;tano
1;tatu;tatu
1;tawi;tawi
1;tena;tena
1;timu;timu
1;tisa;tisa
1;tone;tone
1;tube;tube
1;umri;umri
1;vita;vita
1;wafu;wafu
1;wako;wako
1;wala;wala
1;wale;wale
1;watu;watu
1;waya;waya
1;wazi;wazi
1;wazo;wazo
1;wetu;wetu
1;wiki;wiki
1;yadi;yadi
1;yake;yake
1;yako;yako
1;yeye;yeye
1;zima;zima
1;ziwa;ziwa
2;ajabu;ajabu
2;akili;akili
2;alama;alama
2;ambao;ambao
2;amini;amini
2;ardhi;ardhi
2;asili;asili
2;awali;awali
2;baada;baada
2;barua;barua
2;bendi;bendi
2;benki;benki
2;bonde;bonde
2;bwana;bwana
2;chama;chama
2;chati;chati
2;chini;chini
2;chuma;chuma
2;chupa;chupa
2;daima;daima
2;dunia;dunia
2;faini;faini
2;fedha;fedha
2;fimbo;fimbo
2;ganda;ganda
2;gumzo;gumzo
2;hatua;hatua
2;hivyo;hivyo
2;ijayo;ijayo
2;ilani;ilani
2;inchi;inchi
2;jambo;jambo
2;jicho;jicho
2;jinsi;jinsi
2;jioni;jioni
2;jumla;jumla
2;kamba;kamba
2;kambi;kambi
2;kamwe;kamwe
2;kanda;kanda
2;kanzu;kanzu
2;kiasi;kiasi
2;kiatu;kiatu
2;kiini;kiini
2;kilio;kilio
2;kimya;kimya
2;kisha;kisha
2;kofia;kofia
2;kubwa;kubwa
2;kujua;kujua
2;kukaa;kukaa
2;kukua;kukua
2;kundi;kundi
2;kuona;kuona
2;kutoa;kutoa
2;kuuza;kuuza
2;kuvaa;kuvaa
2;kweli;kweli
2;labda;labda
2;laini;laini
2;lugha;lugha
2;maana;maana
2;madai;madai
2;maili;maili
2;mazao;mazao
2;mbali;mbali
