1;Akaanguka;VERB;chini;ADV;pu;INT;
1;Asante;INT;sana;ADV;
1;Akambeba;VERB;mbuzi;NOUN;kichwani;NOUN;
1;Alianza;VERB;kuishi;VERB;mtaani;NOUN;
1;Alianza;VERB;kupiga;VERB;mayowe;NOUN;
1;Alifanya;VERB;vyema;ADV;shuleni;NOUN;
1;Alijawa;VERB;na;ADV;woga;NOUN;
1;Alimfungulia;VERB;mlango;NOUN;akaingia;VERB;
1;Alimuaga;VERB;tayari;ADV;kurejea;VERB;
1;Alipanda;VERB;bustani;NOUN;kubwa;ADJ;
1;Alipanda;VERB;bustani;NOUN;ndogo;ADJ;
1;Alipoamka;VERB;hakuweza;VERB;kuona;VERB;
1;Alisombwa;VERB;na;ADV;maji;NOUN;
1;Alitembea;VERB;kwa;ADP;shida;NOUN;
1;Alizidi;VERB;kuukaribia;VERB;mwamba;NOUN;
1;Alizoea;VERB;kutazama;VERB;picha;NOUN;
1;Ana;NOUN;simu;NOUN;tano;ADJ;
1;Anacheza;VERB;na;ADV;wenzake;NOUN;
1;Anafika;VERB;shuleni;NOUN;mapema;ADV;
1;Anaitwa;VERB;Bi;NOUN;Simu;NOUN;
1;Anaosha;VERB;uso;NOUN;wake;PRON;
1;Anasoma;VERB;kwa;ADP;bidii;NOUN;
1;Anataka;VERB;kunywa;VERB;maji;NOUN;
1;Anga;NOUN;lilianza;VERB;kulalamika;VERB;
1;Asubuhi;NOUN;barua;NOUN;haikuwepo;VERB;
1;Atakuja;VERB;nyumbani;NOUN;baadaye;ADV;
1;Barua;NOUN;kwa;ADP;mama;NOUN;
1;Dereva;NOUN;alikasirika;VERB;sana;ADV;
1;Fahali;NOUN;aliogopa;VERB;sana;ADV;
1;Fahali;NOUN;na;CONJ;Punda;NOUN;
1;Fisi;NOUN;na;CONJ;Kobe;NOUN;
1;Ghafla;ADV;walisikia;VERB;mngurumo;NOUN;
1;Hakujua;VERB;kusoma;VERB;maneno;NOUN;
1;Hakuwa;VERB;na;ADV;mke;NOUN;
1;Halafu;ADV;akaanza;VERB;kulia;VERB;
1;Hata;ADV;hapo;PRON;sikukiona;VERB;
1;Hatimaye;ADV;walifikia;VERB;uamuzi;NOUN;
1;Hii;PRON;ni;VERB;meli;NOUN;
1;Hiki;PRON;ni;VERB;kitanda;NOUN;
1;Hili;PRON;ni;VERB;chungwa;NOUN;
1;Hivi;ADV;hapa;PRON;inakuja;VERB;
1;Huharibu;VERB;nguo;NOUN;pia;ADV;
1;Huu;PRON;ni;VERB;mpira;NOUN;
1;Huu;PRON;ni;VERB;mwavuli;NOUN;
1;Huweza;VERB;kusababisha;VERB;ugonjwa;NOUN;
