Name,Story,Status,English URL,Swahili URL,CocosDirectory
Sonu,Adhabu_Punishment.pdf,Done,http://www.africanstorybook.org/readbook.php?id=11989&a=1,http://www.africanstorybook.org/readbook.php?id=8074&a=1,Adhabu_Punishment
Sonu,Adie_and_Adhoch.pdf,Done,http://www.africanstorybook.org/readbook.php?id=15170&a=0,http://www.africanstorybook.org/readbook.php?id=15403&a=1,Adie_na_adhoch
Sonu,Adun_the_beautiful.pdf,Done,http://www.africanstorybook.org/readbook.php?id=13539&a=1,http://www.africanstorybook.org/readbook.php?id=18218&a=1,Adun
Sonu,Ah_Mpira_Ah_Football_.pdf,Done,http://www.africanstorybook.org/readbook.php?id=12926&a=1,http://www.africanstorybook.org/readbook.php?id=12925&a=1,Ah_Mpira_Ah_Football
Sonu,Ajali_mbaya_Serious_accident.pdf,Done,http://www.africanstorybook.org/readbook.php?id=9672&a=1,http://www.africanstorybook.org/readbook.php?id=10555&a=1,Ajali_mbaya_Serious_accident
Sonu,Akai_amefurahi_Happy_Akai.pdf,Doing,http://www.africanstorybook.org/readbook.php?id=15578&a=1,http://www.africanstorybook.org/readbook.php?id=15862&a=1,Akai_amefurahi
Sonu,Anansi_Kunguru_na_Mamba_Anansi_the_crows_and_the_crocodiles_.pdf,N,http://www.africanstorybook.org/readbook.php?id=1946&a=1,http://www.africanstorybook.org/readbook.php?id=2305&a=1,Anansi_Kunguru_na_Mamba_Anansi_the_crows
Sonu,Anansi_awapa_watu_hadithi_Anansi_gives_people_stories.pdf,N,http://www.africanstorybook.org/readbook.php?id=1943&a=1,http://www.africanstorybook.org/readbook.php?id=1978&a=1,Anansi_awapa_watu_hadithi
Sonu,Anansi_na_Hekima_Anansi_and_Wisdom.pdf,N,http://www.africanstorybook.org/readbook.php?id=1938&a=1,http://www.africanstorybook.org/readbook.php?id=2234&a=1,Anansi_na_Hekima_Anansi
Sonu,Anansi_na_Tai_Anansi_and_Vulture.pdf,N,http://www.africanstorybook.org/readbook.php?id=996&a=1,http://www.africanstorybook.org/readbook.php?id=1017&a=1,Anansi_na_Tai_Anansi
Sonu,Barua_kwa_mama_Letter_to_mum.pdf,N,http://www.africanstorybook.org/readbook.php?id=2134&a=1,http://www.africanstorybook.org/readbook.php?id=2526&a=1,Barua_kwa_mama
Sonu,Basi_kubwa_la_bluu_Big_blue_bus.pdf,N,http://www.africanstorybook.org/readbook.php?id=12083&a=1,http://www.africanstorybook.org/readbook.php?id=12428&a=1,Basi_kubwa_la_bluu_Big_blue_bus
Teju,Bi_Simu_Ms_Phone.pdf,N,http://www.africanstorybook.org/readbook.php?id=14420&a=1,http://www.africanstorybook.org/readbook.php?id=14419&a=1,Bi_Simu
Teju,Binti_wa_Mflame_Kayanja_King_Kayanja_and_his_daughter.pdf,N,http://www.africanstorybook.org/readbook.php?id=10210&a=1,http://www.africanstorybook.org/readbook.php?id=12899&a=1,Binti_wa_Mflame_Kayanja
Teju,Bunty_and_Bubbly.pdf,N,http://www.africanstorybook.org/readbook.php?id=913&a=1,http://www.africanstorybook.org/readbook.php?id=2830&a=1,Bunty_and_Bubbly
Teju,Demane_and_Demazane.pdf,N,http://www.africanstorybook.org/readbook.php?id=2651&a=1,http://www.africanstorybook.org/readbook.php?id=10680&a=1,Demane_and_Demazane
