"Adhabu_Punishment";"multiple_choice";"What did mama bring?"
"";"";"fruits"
"";"";"vegetables"
"";"";"fish"
"";"";"rocks"
"";"multiple_choice";"Who ate the fruits?"
"";"";"Rahim"
"";"";"Mama"
"";"";"Dog"
"";"";"Cat"
"";"multiple_choice";"How did Rahim's tummy feel?"
"";"";"Sore"
"";"";"Full"
"";"";"Empty"
"";"";"Light"
"";"fill_in_the_blanks";"My brother Rahim is greedy"
"";"";"greedy"
"";"";"happy"
"";"";"sad"
"";"";"angry"
"";"fill_in_the_blanks";"Mama was angry with Rahim"
"";"";"angry"
"";"";"pleased"
"";"";"disappointed"
"";"";"friendly"
"";"fill_in_the_blanks";"Rahim started feeling unwell"
"";"";"unwell"
"";"";"guilty"
"";"";"bad"
"";"";"delighted"
"";"meanings";"warn"
"";"";"inform someone of a possible danger"
"";"meanings";"naughty"
"";"";"badly behaved"
"";"meanings";"selfish"
"";"";"lacking consideration for other people"
"";"meanings";"greedy"
"";"";"having a excessive desire"
"";"meanings";"sorry"
"";"";"feeling regret or penitence"
"";"meanings";"punish"
"";"";"inflict a penalty on someone"
"";"meanings";"angry"
"";"";"feeling or showing strong annoyance, displeasure, or hostility"
"";"meanings";"taste"
"";"";"the sensation of flavour perceived in the mouth"
"";"picture";"table"
"";"picture";"apple"
"";"picture";"banana"
"";"picture";"sofa"
"";"picture";"house"
"";"picture";"flower"
"";"picture";"table"
"";"picture";"mango"
"";"words";"shout"
"";"words";"sorry"
"";"words";"punish"
"";"words";"tummy"
"Adie_na_adhoch";"multiple_choice";"What were the names of the daughters?"
"";"";"Adie and Adhoch"
"";"";"Grace and Irene"
"";"";"Rehema and Farida"
"";"";"Mary and Sarah"
"";"multiple_choice";"Where did Adie go to fetch water?"
"";"";"Lake"
"";"";"Well"
"";"";"River"
"";"";"Ocean"
"";"multiple_choice";"When did Adhoch go to look for her sister?"
"";"";"Night"
"";"";"Morning"
"";"";"Afternoon"
"";"";"Evening"
"";"fill_in_the_blanks";"The step sisters loved each other very much"
"";"";"loved"
"";"";"hated"
"";"";"praised"
"";"";"called"
"";"fill_in_the_blanks";"Adie was hard working, neat, kind and well behaved"
"";"";"neat"
"";"";"dirty"
"";"";"rude"
"";"";"lazy"
"";"fill_in_the_blanks";"Adhoch studied and played when Adie was busy working"
"";"";"working"
"";"";"jumping"
"";"";"falling"
"";"";"sleeping"
"";"meanings";"drown"
"";"";"die through submersion in water"
"";"meanings";"jealous"
"";"";"feeling or showing an envious resentment of someone"
"";"meanings";"daughter"
"";"";"female child"
"";"meanings";"receive"
"";"";"be given"
"";"meanings";"unkind"
"";"";"harsh to others"
"";"meanings";"teacher"
"";"";"a person who teaches"
"";"meanings";"reply"
"";"";"say something in response to something"
"";"meanings";"present"
"";"";"a thing given to someone as a gift"
"";"words";"water"
"";"words";"mother"
"";"words";"daughter"
"";"words";"angry"
"Adun_the_beautiful";"multiple_choice";"What did the man give the tortoise?"
"";"";"horn"
"";"";"drum"
"";"";"guitar"
"";"";"whistle"
"";"multiple_choice";"What did Adun put in the horn?"
"";"";"oily cakes"
"";"";"banana"
"";"";"apple"
"";"";"potato"
"";"multiple_choice";"What did Adun finally do?"
"";"";"run away"
"";"";"sleep"
"";"";"sit down"
"";"";"work"
"";"fill_in_the_blanks";"Adun was very beautiful"
"";"";"beautiful"
"";"";"dirty"
"";"";"ugly"
"";"";"tall"
